Region,Year,Number
서울,2019,14952
경기,2019,11750
인천,2019,2598
부산,2019,3216
대구,2019,11313
광주,2019,2464
대전,2019,2555
울산,2019,1447
세종,2019,903
강원,2019,2445
충북,2019,2412
충남,2019,2841
전북,2019,1841
전남,2019,3326
경북,2019,4051
경남,2019,3626
제주,2019,18178
서울,2020,23393
경기,2020,20477
인천,2020,5366
부산,2020,5355
대구,2020,12630
광주,2020,3210
대전,2020,4469
울산,2020,2274
세종,2020,1148
강원,2020,4078
충북,2020,3883
충남,2020,5489
전북,2020,3323
전남,2020,5223
경북,2020,7051
경남,2020,6308
제주,2020,21285
서울,2021,40564
경기,2021,39958
인천,2021,12820
부산,2021,12375
대구,2021,16185
광주,2021,5194
대전,2021,7701
울산,2021,3166
세종,2021,1859
강원,2021,7946
충북,2021,8194
충남,2021,9991
전북,2021,7365
전남,2021,8708
경북,2021,11240
경남,2021,12606
제주,2021,25571
